adduser	3.113ubuntu2
ant	1.8.2-4build1
ant-contrib	1.0~b3+svn177-4
ant-optional	1.8.2-4build1
antlr	2.7.7+dfsg-3
apt	0.8.16~exp12ubuntu10.10
apt-utils	0.8.16~exp12ubuntu10.10
aptdaemon	0.43+bzr805-0ubuntu8
aspectj	1.6.12+dfsg-3
autoconf	2.68-1ubuntu2
automake	1:1.11.3-1ubuntu2
autotools-dev	20120210.1ubuntu1
base-files	6.5ubuntu6.5
base-passwd	3.5.24
bash	4.2-2ubuntu2
binutils	2.22-6ubuntu1
binutils-doc	2.22-6ubuntu1
bison	1:2.5.dfsg-2.1
bsdmainutils	8.2.3ubuntu1
bsdutils	1:2.20.1-1ubuntu3
bsh	2.0b4-12build1
bsh-gcj	2.0b4-12build1
build-essential	11.5ubuntu2.1
busybox-initramfs	1:1.18.5-1ubuntu4.1
bzip2	1.0.6-1
bzr	2.5.1-0ubuntu2
ca-certificates	20111211
ca-certificates-java	20110912ubuntu6
chromium-browser	25.0.1364.160-0ubuntu0.12.04.1
chromium-browser-l10n	25.0.1364.160-0ubuntu0.12.04.1
chromium-codecs-ffmpeg	25.0.1364.160-0ubuntu0.12.04.1
cmake	2.8.7-0ubuntu5
cmake-data	2.8.7-0ubuntu5
cmap-adobe-japan1	0+20090930-2
comerr-dev	2.1-1.42-1ubuntu2
console-setup	1.70ubuntu5
consolekit	0.4.5-2
coreutils	8.13-3ubuntu3.2
couchdb	1.2.0-2ubuntu1~precise1~ppa1
couchdb-bin	1.2.0-2ubuntu1~precise1~ppa1
cpio	2.11-7ubuntu3
cpp	4:4.6.3-1ubuntu5
cpp-4.6	4.6.3-1ubuntu5
cron	3.0pl1-120ubuntu4
cryptsetup-bin	2:1.4.1-2ubuntu4
curl	7.22.0-3ubuntu4
dash	0.5.7-2ubuntu2
dbus	1.4.18-1ubuntu1.3
dbus-x11	1.4.18-1ubuntu1.3
dconf-gsettings-backend	0.12.0-0ubuntu1.1
dconf-service	0.12.0-0ubuntu1.1
dctrl-tools	2.18ubuntu1
debconf	1.5.42ubuntu1
debconf-i18n	1.5.42ubuntu1
debconf-utils	1.5.42ubuntu1
debhelper	9.20120115ubuntu3
debianutils	4.2.1ubuntu2
dh-apparmor	2.7.102-0ubuntu3.7
diffutils	1:3.2-1ubuntu1
dmsetup	2:1.02.48-4ubuntu7.3
dosfstools	3.0.12-1ubuntu1
dpkg	1.16.1.2ubuntu7.1
dpkg-dev	1.16.1.2ubuntu7.1
e2fslibs	1.42-1ubuntu2
e2fsprogs	1.42-1ubuntu2
eject	2.1.5+deb1+cvs20081104-9
elasticsearch	0.20.2
emacs23-bin-common	23.3+1-1ubuntu9.1
emacs23-common	23.3+1-1ubuntu9.1
emacs23-nox	23.3+1-1ubuntu9.1
emacsen-common	1.4.22ubuntu1
erlang-asn1	1:14.b.4-dfsg-1ubuntu1
erlang-base	1:14.b.4-dfsg-1ubuntu1
erlang-corba	1:14.b.4-dfsg-1ubuntu1
erlang-crypto	1:14.b.4-dfsg-1ubuntu1
erlang-dev	1:14.b.4-dfsg-1ubuntu1
erlang-diameter	1:14.b.4-dfsg-1ubuntu1
erlang-docbuilder	1:14.b.4-dfsg-1ubuntu1
erlang-edoc	1:14.b.4-dfsg-1ubuntu1
erlang-erl-docgen	1:14.b.4-dfsg-1ubuntu1
erlang-eunit	1:14.b.4-dfsg-1ubuntu1
erlang-ic	1:14.b.4-dfsg-1ubuntu1
erlang-inets	1:14.b.4-dfsg-1ubuntu1
erlang-inviso	1:14.b.4-dfsg-1ubuntu1
erlang-mnesia	1:14.b.4-dfsg-1ubuntu1
erlang-nox	1:14.b.4-dfsg-1ubuntu1
erlang-odbc	1:14.b.4-dfsg-1ubuntu1
erlang-os-mon	1:14.b.4-dfsg-1ubuntu1
erlang-parsetools	1:14.b.4-dfsg-1ubuntu1
